Plant_ID,Production_Date,Shift,Planned_Units,Units_Produced,Defective_Units,Defect_Type,Supplier_ID,Raw_Material,Lead_Time_Days,Downtime_Minutes,Downtime_Reason,Inventory_Level,Reorder_Level,Production_Cost_Per_Unit,Delivery_Delay_Days,Defect_Rate,Production_Efficiency,Inventory_Status
R_Aurangabad,23-02-2024,A,228,188,14,Welding,ZF,Engine_Parts,11,104,Material_Shortage,255,586,52323.64,2,7.45,82.46,Below Reorder
R_Chakan,17-09-2024,C,190,181,4,Painting,Valeo,Electronics,15,43,Material_Shortage,529,376,48606.63,1,2.21,95.26,Optimal
R_Pune,13-09-2024,B,197,182,13,Assembly,Continental,Electronics,5,117,Material_Shortage,845,405,79317.2,0,7.14,92.39,Optimal
R_Aurangabad,11-04-2024,A,212,193,13,Assembly,Continental,Electronics,8,48,Machine_Failure,266,434,61005.49,2,6.74,91.04,Below Reorder
R_Chakan,19-10-2024,A,197,159,0,Painting,ZF,Body_Parts,6,94,Maintenance,476,411,62707.8,3,0.0,80.71,Optimal
R_Pune,26-07-2024,B,239,212,4,Welding,ZF,Gearbox,6,111,Machine_Failure,333,372,78328.96,5,1.89,88.7,Below Reorder
R_Chakan,08-10-2024,C,231,226,7,Welding,Mahindra_Suppliers,Electronics,2,40,Power_Failure,826,475,60877.63,2,3.1,97.84,Optimal
R_Pune,14-01-2024,C,239,234,13,No Defect,Valeo,Gearbox,2,145,Maintenance,747,594,49728.58,0,5.56,97.91,Optimal
R_Aurangabad,02-06-2024,A,191,178,11,Welding,Bosch,Electronics,14,63,Material_Shortage,368,333,77790.53,0,6.18,93.19,Optimal
R_Pune,05-01-2024,C,227,189,8,No Defect,Valeo,Electronics,6,22,Machine_Failure,668,560,60990.12,2,4.23,83.26,Optimal
R_Pune,11-01-2024,C,195,178,13,Painting,Continental,Gearbox,5,1,Machine_Failure,286,477,73099.86,5,7.3,91.28,Below Reorder
R_Chakan,22-02-2024,A,235,211,3,Electrical,Bosch,Engine_Parts,2,94,Material_Shortage,1005,337,53144.21,2,1.42,89.79,Optimal
R_Pune,30-06-2024,A,202,187,3,Electrical,Valeo,Body_Parts,14,31,Material_Shortage,356,599,67244.34,4,1.6,92.57,Below Reorder
R_Chakan,28-02-2024,B,236,213,7,Painting,Bosch,Electronics,12,180,Power_Failure,695,384,79316.24,3,3.29,90.25,Optimal
R_Pune,26-09-2024,A,238,221,5,Welding,Bosch,Gearbox,12,10,Material_Shortage,371,526,75624.04,4,2.26,92.86,Below Reorder
R_Aurangabad,03-01-2024,B,237,237,4,Painting,Valeo,Electronics,9,13,Maintenance,710,333,61060.48,3,1.69,100.0,Optimal
R_Pune,12-10-2024,B,233,223,11,Welding,Bosch,Engine_Parts,13,13,Maintenance,1149,341,69304.91,0,4.93,95.71,Optimal
R_Pune,12-08-2024,B,243,231,9,Electrical,Bosch,Engine_Parts,2,111,Material_Shortage,247,407,79090.13,1,3.9,95.06,Below Reorder
R_Aurangabad,24-03-2024,A,188,159,10,Electrical,Continental,Electronics,12,35,Maintenance,674,377,57600.06,0,6.29,84.57,Optimal
R_Chakan,05-06-2024,A,198,159,13,No Defect,Continental,Gearbox,8,159,Machine_Failure,241,475,79846.3,5,8.18,80.3,Below Reorder
R_Pune,10-08-2024,A,212,202,3,Painting,Mahindra_Suppliers,Electronics,14,163,Machine_Failure,951,344,45497.12,2,1.49,95.28,Optimal
R_Chakan,08-10-2024,B,180,172,14,Painting,Mahindra_Suppliers,Electronics,11,24,Maintenance,276,376,69739.3,1,8.14,95.56,Below Reorder
R_Aurangabad,19-08-2024,C,254,224,3,No Defect,ZF,Body_Parts,2,58,Power_Failure,617,490,60016.28,4,1.34,88.19,Optimal
R_Chakan,11-10-2024,A,227,197,11,Welding,Valeo,Engine_Parts,10,146,Power_Failure,466,441,77822.02,4,5.58,86.78,Optimal
R_Chakan,02-09-2024,A,221,209,10,No Defect,ZF,Electronics,13,144,Machine_Failure,1008,378,69539.73,0,4.78,94.57,Optimal
R_Pune,16-06-2024,B,260,223,4,Electrical,Mahindra_Suppliers,Body_Parts,8,32,Maintenance,610,568,52839.94,3,1.79,85.77,Optimal
R_Aurangabad,04-06-2024,A,186,174,4,No Defect,Valeo,Body_Parts,14,88,Material_Shortage,348,505,47842.67,1,2.3,93.55,Below Reorder
R_Chakan,19-07-2024,A,250,244,0,Electrical,Continental,Engine_Parts,10,97,Material_Shortage,1155,404,49592.73,0,0.0,97.6,Optimal
R_Chakan,31-08-2024,A,241,211,6,Electrical,Bosch,Gearbox,2,151,Maintenance,298,574,51487.17,1,2.84,87.55,Below Reorder
R_Pune,30-08-2024,B,214,194,10,Assembly,Bosch,Electronics,8,53,Maintenance,270,563,67641.82,3,5.15,90.65,Below Reorder
R_Aurangabad,03-06-2024,C,191,182,3,Painting,Valeo,Engine_Parts,4,162,Machine_Failure,939,585,71760.42,2,1.65,95.29,Optimal
R_Chakan,28-08-2024,C,201,196,11,Electrical,ZF,Electronics,5,154,Material_Shortage,1157,533,78745.42,3,5.61,97.51,Optimal
R_Aurangabad,09-06-2024,C,259,235,4,No Defect,Valeo,Body_Parts,4,132,Maintenance,468,510,63035.71,3,1.7,90.73,Below Reorder
R_Chakan,27-05-2024,C,203,179,10,Electrical,Bosch,Electronics,6,16,Power_Failure,691,315,71985.11,2,5.59,88.18,Optimal
R_Chakan,02-01-2024,C,260,221,10,No Defect,ZF,Electronics,4,6,Material_Shortage,699,479,55644.87,1,4.52,85.0,Optimal
